,name,geometry,lat,lon
0,,POINT (9.2035884 45.4967101),45.4967101,9.2035884
1,,POINT (9.1991259 45.5197377),45.5197377,9.1991259
2,TrebbiaNove,POINT (9.2009959 45.4479018),45.4479018,9.2009959
3,,POINT (9.1386375 45.4695424),45.4695424,9.1386375
4,,POINT (9.1518632 45.4619726),45.4619726,9.1518632
5,,POINT (9.1645176 45.4974575),45.4974575,9.1645176
6,,POINT (9.2253649 45.4753513),45.4753513,9.2253649
7,,POINT (9.2464769 45.5047982),45.5047982,9.2464769
8,,POINT (9.1061881 45.4812693),45.4812693,9.1061881
9,,POINT (9.1947376 45.5060472),45.5060472,9.1947376
10,,POINT (9.185378 45.4808101),45.4808101,9.185378
11,,POINT (9.1891262 45.5027644),45.5027644,9.1891262
12,,POINT (9.1635566 45.4889458),45.4889458,9.1635566
13,,POINT (9.1711129 45.4817589),45.4817589,9.1711129
14,,POINT (9.1674745 45.4522275),45.4522275,9.1674745
15,Garage Internazionale,POINT (9.1640352 45.4575124),45.4575124,9.1640352
16,Gran garage,POINT (9.1811469 45.4516539),45.4516539,9.1811469
17,,POINT (9.1569875 45.4470302),45.4470302,9.1569875
18,,POINT (9.1901652 45.4503521),45.4503521,9.1901652
19,,POINT (9.1873558 45.4511533),45.4511533,9.1873558
20,,POINT (9.2072192 45.4908334),45.4908334,9.2072192
21,Parcheggio Coop,POINT (9.1604498 45.4825121),45.4825121,9.1604498
22,,POINT (9.1267311 45.5125216),45.5125216,9.1267311
23,Parking Quinto Alpini,POINT (9.1676651 45.4723854),45.4723854,9.1676651
24,,POINT (9.106648 45.454457),45.454457,9.106648
25,,POINT (9.1019032 45.4603544),45.4603544,9.1019032
26,,POINT (9.119381 45.4583631),45.4583631,9.119381
27,,POINT (9.0966981 45.462036),45.462036,9.0966981
28,Einaudi,POINT (9.1941409 45.4832833),45.4832833,9.1941409
29,,POINT (9.2081176 45.4784447),45.4784447,9.2081176
30,Parcheggio Sotterraneo,POINT (9.2477247 45.4778949),45.4778949,9.2477247
31,Parcheggio Sotterraneo,POINT (9.2468055 45.4798997),45.4798997,9.2468055
32,Parcheggio Supermercato,POINT (9.218683 45.4417478),45.4417478,9.218683
33,,POINT (9.2125231 45.5147742),45.5147742,9.2125231
34,,POINT (9.2115713 45.5150419),45.5150419,9.2115713
35,,POINT (9.152313 45.430799),45.430799,9.152313
36,,POINT (9.1506661 45.4295944),45.4295944,9.1506661
37,,POINT (9.1515137 45.4302155),45.4302155,9.1515137
38,,POINT (9.1532706 45.4292066),45.4292066,9.1532706
39,,POINT (9.156001 45.4311303),45.4311303,9.156001
40,,POINT (9.1736243 45.5133529),45.5133529,9.1736243
41,Autorimessa Sarca,POINT (9.2032698 45.5068097),45.5068097,9.2032698
42,,POINT (9.2147232 45.4545359),45.4545359,9.2147232
43,Duomo Parking,POINT (9.1855495 45.4592583),45.4592583,9.1855495
44,Esselunga,POINT (9.1730422 45.5118282),45.5118282,9.1730422
45,Esselunga,POINT (9.1736328 45.5118476),45.5118476,9.1736328
46,Garage Meravigli,POINT (9.1837973 45.4662434),45.4662434,9.1837973
47,,POINT (9.1480091 45.4891651),45.4891651,9.1480091
48,,POINT (9.2043654 45.5185045),45.5185045,9.2043654
49,Brico Io,POINT (9.2276503 45.5206523),45.5206523,9.2276503
50,SAN DONATO-EMILIA VIA SAN DONATO-EMILIA CORRISPONDENZA LINEA MM3,POINT (9.2543688 45.4281368),45.4281368,9.2543688
51,Molinetto di Lorenteggio,POINT (9.1173466 45.442125),45.442125,9.1173466
52,MOLINO DORINO VIA MOLINO DORINO CORRISPONDENZA LINEA MM1,POINT (9.0950161 45.5051914),45.5051914,9.0950161
53,Ripamonti Corrispondenza Tram 24,POINT (9.2033556 45.4208336),45.4208336,9.2033556
54,"FORLANINI VLE FORLANINI CORRISPONDENZA LINEA TRAM 27, BUS 73 e 45",POINT (9.2387909 45.4629733),45.4629733,9.2387909
55,CASCINA GOBBA VIA CASCINA GOBBA CORRISPONDENZA  LINEA MM2,POINT (9.2608686 45.5090649),45.5090649,9.2608686
56,Bovisa Via Bovisa corrispondenza linea interscambio con Fnm,POINT (9.160924 45.5021163),45.5021163,9.160924
57,LAMPUGNANO VIA LAMPUGNANO CORRISPONDENZA LINEA MM1,POINT (9.128172 45.488093),45.488093,9.128172
