,Classe,lat,lon,name,icon_data,Distance,node,route
0,Parcheggio,45.471552,9.2746567,Parcheggio,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Parking_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.047,1583754380,"[3815736370, 1583718038, 1583741349, 1583741344, 1583741350, 1583744089, 1583744063, 1583744093, 1583754373, 1583754362, 1583754380]"
1,Parcheggio,45.4714828,9.2753928,Parcheggio Parco esposizioni di Novegro,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Parking_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.048,1583722029,"[3815736370, 1583718038, 1583741349, 1583744094, 1583722060, 1583722021, 1583722029]"
2,Parcheggio,45.4721817,9.2746454,Parcheggio,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Parking_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.049,1583744046,"[3815736370, 1583718038, 1583741349, 1583741344, 1583741350, 1583744046]"
3,Parcheggio,45.4711535,9.2764793,Parcheggio Parco esposizioni di Novegro,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Parking_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.135,1583722065,"[3815736370, 1583718038, 1583741349, 1583744094, 1583722060, 1583722021, 1583722029, 1583722100, 1583722065]"
4,Parcheggio,45.4725777,9.2780223,Parcheggio,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Parking_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.244,9463770513,"[3815736370, 3815736371, 9463776019, 9463776020, 9530963317, 9808864689, 9808864709, 2328097040, 9463770514, 9463770513]"
5,Bus,45.4723658,9.2778938,Via Novegro - Strada Rivoltana,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Bus_Stop_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.228,2328097035,"[3815736370, 3815736371, 9463776019, 3815736378, 2462181559, 1583751984, 1085534719, 2328097035]"
6,Bus,45.4723663,9.2779238,Via Novegro - Strada Rivoltana,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Bus_Stop_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.23,2328097035,"[3815736370, 3815736371, 9463776019, 3815736378, 2462181559, 1583751984, 1085534719, 2328097035]"
7,Bus,45.472459,9.2779238,Via Novegro Strada Rivoltana (Segrate),"{'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Bus_Stop_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.233,9463770513,"[3815736370, 3815736371, 9463776019, 9463776020, 9530963317, 9808864689, 9808864709, 2328097040, 9463770514, 9463770513]"
8,Bus,45.4724581,9.2779885,Via Novegro - Strada Rivoltana (Novegro),"{'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Bus_Stop_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.238,9463770513,"[3815736370, 3815736371, 9463776019, 9463776020, 9530963317, 9808864689, 9808864709, 2328097040, 9463770514, 9463770513]"
9,Bus,45.469472,9.2779112,"Via Novegro, 37 (Segrate)","{'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Bus_Stop_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.346,5786699817,"[3815736370, 3815736371, 9463776019, 3815736378, 2462181559, 1583751984, 1085534719, 2328097035, 2328097123, 2328474080, 32917159, 5786699817]"
