,lat,lon
0,45.4684048,9.175523
1,45.48453,9.187309
2,45.4423024,9.130128
3,45.5128565,9.2143385
4,45.4854753,9.2376864
5,45.4803739,9.1988454
6,45.4672656,9.2173702
7,45.5021322,9.1507399
8,45.5055437,9.1795675
9,45.4897938,9.1275658
10,45.5067834,9.136257
11,45.5191956,9.1456385
12,45.4459202,9.2141267
13,45.5216145,9.1682909
14,45.44417,9.1855751
15,45.4916978,9.2299158
16,45.4840444,9.1866425
17,45.4757916,9.2087419
18,45.5111613,9.2606304
19,45.4835188,9.1877146
20,45.4723882,9.1425595
21,45.472254,9.1430169
22,45.4753258,9.2058895
24,45.4858786,9.2042617
25,45.480874,9.1622235
28,45.430014,9.1773223
30,45.5332294,9.1727917
31,45.5215137,9.1675094
32,45.5022164,9.1592952
33,45.493595,9.1770923
34,45.4645605,9.2368533
35,45.4595004,9.2238754
36,45.4336129,9.2386128
37,45.4808063,9.2985535
38,45.4746191,9.1947419
39,45.4700892,9.1927671
40,45.4794372,9.1979411
41,45.4976899,9.1850263
42,45.4926642,9.1928945
43,45.4925839,9.1928456
44,45.4898269,9.2008379
45,45.4845016,9.2032043
46,45.4848114,9.2026336
47,45.5135394,9.1739662
48,45.5281283,9.1637084
52,45.4371382,9.2303777
53,45.4427688,9.2185197
54,45.4403776,9.2234375
55,45.4468046,9.2107332
56,45.4515333,9.2032066
57,45.4562736,9.1955754
59,45.4646014,9.1894915
60,45.4848401,9.1947909
61,45.4835639,9.1867087
62,45.4844482,9.2356061
64,45.4852129,9.2157423
65,45.4842149,9.2158851
66,45.4853047,9.2094139
69,45.4912082,9.2370179
70,45.4437345,9.1677011
71,45.4432682,9.1678498
72,45.4532634,9.1696116
74,45.4585981,9.1698098
75,45.461773,9.1733825
78,45.4718013,9.1823052
79,45.4770858,9.1843685
80,45.5174649,9.2261092
81,45.5120331,9.2244644
82,45.5061558,9.2226651
83,45.5004487,9.2209865
84,45.495536,9.2194872
85,45.4902857,9.2179293
86,45.4666474,9.197568
87,45.4716297,9.2021428
88,45.480357,9.2109589
89,45.4684915,9.1819853
90,45.4655495,9.1862299
91,45.4575781,9.1222244
92,45.4594303,9.1292549
93,45.461524,9.1364657
94,45.4649139,9.1430147
96,45.5011378,9.1015462
97,45.4970317,9.1101295
98,45.4938806,9.1202555
99,45.489492,9.1271948
100,45.4860084,9.1370307
101,45.479692,9.1437786
102,45.4786497,9.144456
103,45.4736967,9.1509963
104,45.4704169,9.155316
105,45.4664527,9.1495656
106,45.4678782,9.1555175
107,45.4683019,9.161102
108,45.467522,9.1666054
110,45.4760554,9.1290328
112,45.4813162,9.1506045
113,45.478044,9.1567618
114,45.4814045,9.1619408
115,45.4844616,9.1666565
116,45.4874537,9.172262
117,45.4851181,9.1804883
118,45.5267835,9.2121828
119,45.5219991,9.2094704
120,45.5147332,9.2053603
121,45.5072418,9.201118
122,45.5016171,9.197952
123,45.496352,9.1949689
124,45.487612,9.1912938
