,index,name,public_transport,geometry,subway,railway,lat,lon
0,0,Milano Cadorna,station,POINT (9.175523 45.4684048),,station,45.4684048,9.175523
1,1,Milano Porta Garibaldi (superficie),station,POINT (9.187309 45.48453),,station,45.48453,9.187309
2,2,Milano San Cristoforo,station,POINT (9.130128 45.4423024),,station,45.4423024,9.130128
3,3,Milano Greco Pirelli,station,POINT (9.2143385 45.5128565),,station,45.5128565,9.2143385
4,4,Milano Lambrate,station,POINT (9.2376864 45.4854753),,station,45.4854753,9.2376864
5,5,Milano Repubblica,station,POINT (9.1988454 45.4803739),,station,45.4803739,9.1988454
6,6,Milano Dateo,station,POINT (9.2173702 45.4672656),,station,45.4672656,9.2173702
7,7,Milano Villapizzone,station,POINT (9.1507399 45.5021322),,station,45.5021322,9.1507399
8,8,Dergano,station,POINT (9.1795675 45.5055437),,station,45.5055437,9.1795675
9,9,Milano Lampugnano,station,POINT (9.1275658 45.4897938),,,45.4897938,9.1275658
10,10,Milano Certosa,station,POINT (9.136257 45.5067834),,station,45.5067834,9.136257
11,11,Milano Quarto Oggiaro,station,POINT (9.1456385 45.5191956),,station,45.5191956,9.1456385
12,12,Milano Porta Romana,station,POINT (9.2141267 45.4459202),,station,45.4459202,9.2141267
13,13,Affori FN,station,POINT (9.1682909 45.5216145),,station,45.5216145,9.1682909
14,14,Milano Tibaldi,station,POINT (9.1855751 45.44417),,halt,45.44417,9.1855751
15,15,Piazza Sire Raul,station,POINT (9.2299158 45.4916978),,,45.4916978,9.2299158
16,16,Milano Porta Garibaldi (passante),station,POINT (9.1866425 45.4840444),,station,45.4840444,9.1866425
17,17,Milano Porta Venezia,station,POINT (9.2087419 45.4757916),,station,45.4757916,9.2087419
18,18,Cascina Gobba,station,POINT (9.2606304 45.5111613),,station,45.5111613,9.2606304
19,19,Garibaldi FS,station,POINT (9.1877146 45.4835188),,station,45.4835188,9.1877146
20,20,,station,POINT (9.1425595 45.4723882),,,45.4723882,9.1425595
21,21,,station,POINT (9.1430169 45.472254),,,45.472254,9.1430169
22,22,Porta Venezia,station,POINT (9.2058895 45.4753258),,station,45.4753258,9.2058895
24,24,Milano Centrale,station,POINT (9.2042617 45.4858786),,station,45.4858786,9.2042617
25,25,Milano Domodossola,station,POINT (9.1622235 45.480874),,station,45.480874,9.1622235
28,28,Abbiategrasso-Chiesa Rossa,station,POINT (9.1773223 45.430014),,station,45.430014,9.1773223
30,30,Milano Bruzzano,station,POINT (9.1727917 45.5332294),,station,45.5332294,9.1727917
31,31,Milano Affori,station,POINT (9.1675094 45.5215137),,station,45.5215137,9.1675094
32,32,Milano Bovisa-Politecnico,station,POINT (9.1592952 45.5022164),,station,45.5022164,9.1592952
33,33,Milano Lancetti,station,POINT (9.1770923 45.493595),,station,45.493595,9.1770923
34,34,Milano Forlanini,station,POINT (9.2368533 45.4645605),,station,45.4645605,9.2368533
35,35,Milano Porta Vittoria,station,POINT (9.2238754 45.4595004),,station,45.4595004,9.2238754
36,36,Milano Rogoredo,station,POINT (9.2386128 45.4336129),,station,45.4336129,9.2386128
37,37,Segrate,station,POINT (9.2985535 45.4808063),,station,45.4808063,9.2985535
38,38,Turati,station,POINT (9.1947419 45.4746191),,station,45.4746191,9.1947419
39,39,Montenapoleone,station,POINT (9.1927671 45.4700892),,station,45.4700892,9.1927671
40,40,Repubblica,station,POINT (9.1979411 45.4794372),,station,45.4794372,9.1979411
41,41,Maciachini,station,POINT (9.1850263 45.4976899),,station,45.4976899,9.1850263
42,42,Zara,station,POINT (9.1928945 45.4926642),,station,45.4926642,9.1928945
43,43,Zara,station,POINT (9.1928456 45.4925839),,station,45.4925839,9.1928456
44,44,Sondrio,station,POINT (9.2008379 45.4898269),,station,45.4898269,9.2008379
45,45,Centrale FS,station,POINT (9.2032043 45.4845016),,station,45.4845016,9.2032043
46,46,Centrale FS,station,POINT (9.2026336 45.4848114),,station,45.4848114,9.2026336
47,47,Affori Centro,station,POINT (9.1739662 45.5135394),,station,45.5135394,9.1739662
48,48,Comasina,station,POINT (9.1637084 45.5281283),,station,45.5281283,9.1637084
52,52,Porto di Mare,station,POINT (9.2303777 45.4371382),,station,45.4371382,9.2303777
53,53,Brenta,station,POINT (9.2185197 45.4427688),,station,45.4427688,9.2185197
54,54,Corvetto,station,POINT (9.2234375 45.4403776),,station,45.4403776,9.2234375
55,55,Lodi T.I.B.B.,station,POINT (9.2107332 45.4468046),,station,45.4468046,9.2107332
