,Classe,lat,lon,name,icon_data,Distance,node,route
0,Parcheggio,45.0278046,7.6648945,Parcheggio,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Parking_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.134,8587796171,"[4498540924, 1172165376, 644598407, 8587796172, 8587796171]"
1,Parcheggio,45.0275403,7.6657548,Parcheggio,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Parking_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.194,644598407,"[4498540924, 1172165376, 644598407]"
2,Parcheggio,45.0303906,7.6619614,Parcheggio,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Parking_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.243,1620606919,"[4498540924, 1540730745, 2017232923, 7785864382, 496985821, 496985810, 496985811, 496985812, 496985816, 10595950275, 496985820, 9364425961, 496985841, 1620606919]"
3,Parcheggio,45.030765,7.665984,Parcheggio,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Parking_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.247,9687643557,"[4498540924, 1172165376, 644598407, 8587796172, 644598421, 644598409, 644598412, 452435031, 452435032, 444594953, 444594956, 444594980, 444594976, 444594988, 654056260, 5653990603, 9689434427, 444594990, 8646368118, 257370992, 4498540925, 8646260700, 9687643557]"
4,Parcheggio,45.0305599,7.6617529,Parcheggio L,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Parking_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.268,9369862005,Parcheggio Interno
5,Bus,45.0291989,7.6659619,Millefonti,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Bus_Stop_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.139,8646260681,"[4498540924, 1172165376, 644598407, 8587796172, 644598421, 644598409, 644598412, 452435031, 452435032, 444594953, 444594956, 444594980, 654056253, 1643960203, 8646260684, 444594985, 8646260677, 257372387, 8646260681]"
6,Bus,45.0298592,7.6661866,Via Nizza-Lingotto Fiere,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Bus_Stop_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.186,444594985,"[4498540924, 1172165376, 644598407, 8587796172, 644598421, 644598409, 644598412, 452435031, 452435032, 444594953, 444594956, 444594980, 654056253, 1643960203, 8646260684, 444594985]"
7,Bus,45.0269163,7.665117,Filzi,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Bus_Stop_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.233,1540730744,"[4498540924, 1540730745, 2017232923, 7785864382, 2017232929, 2017232926, 2017232919, 1540730744]"
8,Bus,45.028584,7.6680733,Millefonti,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Bus_Stop_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.304,444594956,"[4498540924, 1172165376, 644598407, 8587796172, 644598421, 644598409, 644598412, 452435031, 452435032, 444594953, 444594956]"
9,Bus,45.0311454,7.666649,Lingotto Expo,"{'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Map_marker_icon_%E2%80%93_Nicolas_Mollet_%E2%80%93_Bus_Stop_%E2%80%93_Transportation_%E2%80%93_Light.png', 'width': 32, 'height': 37, 'anchorY': 'auto'}",0.312,1213993854,"[4498540924, 1172165376, 644598407, 8587796172, 644598421, 644598409, 644598412, 452435031, 452435032, 444594953, 444594956, 444594980, 444594976, 444594988, 654056260, 5653990603, 9689434427, 444594990, 8646368118, 1213993854]"
