,element_type,osmid,name,public_transport,geometry,lat,lon,icona
0,node,21226899,Piazza Frattini,platform,POINT (9.1417609 45.4522821),45.4522821,9.1417609,
1,node,21298371,Via Valenza Alzaia Nav. Grande,platform,POINT (9.1687198 45.4509566),45.4509566,9.1687198,
2,node,31774774,P.za Morselli,stop_position,POINT (9.1749509 45.4787442),45.4787442,9.1749509,
3,node,95760547,Via Bartolini Viale Monte Ceneri,platform,POINT (9.1537332 45.4909719),45.4909719,9.1537332,
4,node,95760548,Via Bartolini,platform,POINT (9.1534811 45.4915303),45.4915303,9.1534811,
5,node,95760550,Via Mac Mahon - Viale Monte Ceneri,platform,POINT (9.1570134 45.4934557),45.4934557,9.1570134,
6,node,95766440,Corso Sempione - Via Filiberto,platform,POINT (9.1582607 45.4855757),45.4855757,9.1582607,
7,node,95766815,Piazzale Giulio Cesare,platform,POINT (9.1561864 45.4735476),45.4735476,9.1561864,
8,node,102254906,Piazzale Cuoco,platform,POINT (9.2242657 45.452174),45.452174,9.2242657,
9,node,114336657,Via Segantini - Piazza Belfanti,stop_position,POINT (9.1727674 45.4446254),45.4446254,9.1727674,
10,node,114340464,Via Lorenteggio - Via Vignoli,platform,POINT (9.1462362 45.4532051),45.4532051,9.1462362,
11,node,114359530,Viale Molise - Via Cadibona,platform,POINT (9.2239156 45.4538109),45.4538109,9.2239156,
12,node,114359538,Porta Vittoria,stop_position,POINT (9.223923 45.4595539),45.4595539,9.223923,
13,node,114359562,V.le Campania Via Archimede,platform,POINT (9.223937 45.4658972),45.4658972,9.223937,
14,node,114359567,Viale Romagna - Piazzale Susa,stop_position,POINT (9.2238108 45.469675),45.469675,9.2238108,
15,node,114359572,Largo Rio De Janeiro,platform,POINT (9.2250046 45.4734751),45.4734751,9.2250046,
16,node,245477294,Corso Vercelli - Via Cherubini,platform,POINT (9.1592314 45.4670591),45.4670591,9.1592314,
17,node,245557029,Piazzale Segesta,platform,POINT (9.1365193 45.4751033),45.4751033,9.1365193,
18,node,245557039,Via Morgantini - Via Capecelatro,platform,POINT (9.1319028 45.4695368),45.4695368,9.1319028,
19,node,245557048,Via D'Alviano - Via Tuberose,platform,POINT (9.1383612 45.4586162),45.4586162,9.1383612,
